fileName,changeRate,addNum,deleteNum,class
client/src/main/java/org/apache/rocketmq/client/hook/CheckForbiddenHook.java,5,41,15,not bug-prone
common/src/main/java/org/apache/rocketmq/common/hook/FilterCheckHook.java,5,41,15,not bug-prone
remoting/src/test/resources/certs/badClient.pem,1,18,0,not bug-prone
example/src/main/java/org/apache/rocketmq/example/rpc/RequestProducer.java,4,64,16,not bug-prone
acl/src/main/java/org/apache/rocketmq/acl/common/Permission.java,7,124,28,bug-prone
broker/src/test/java/org/apache/rocketmq/broker/processor/AdminBrokerProcessorTest.java,1,125,0,bug-prone
client/src/main/java/org/apache/rocketmq/client/consumer/DefaultMQPushConsumer.java,30,1210,302,bug-prone
client/src/test/java/org/apache/rocketmq/client/impl/consumer/ProcessQueueTest.java,1,107,0,bug-prone
common/src/main/java/org/apache/rocketmq/common/stats/MomentStatsItemSet.java,9,114,21,bug-prone
common/src/main/java/org/apache/rocketmq/common/subscription/SubscriptionGroupConfig.java,6,208,36,not bug-prone
distribution/benchmark/producer.sh,0,0,0,not bug-prone
filter/src/test/java/org/apache/rocketmq/filter/BitsArrayTest.java,3,248,2,not bug-prone
client/src/main/java/org/apache/rocketmq/client/impl/consumer/DefaultMQPullConsumerImpl.java,25,1090,279,not bug-prone
logappender/src/main/java/org/apache/rocketmq/logappender/logback/RocketmqLogbackAppender.java,4,370,8,not bug-prone
store/src/main/java/org/apache/rocketmq/store/ConsumeQueue.java,25,818,130,not bug-prone
test/src/main/java/org/apache/rocketmq/test/util/MQWait.java,1,93,0,not bug-prone
tools/src/main/java/org/apache/rocketmq/tools/command/message/PrintMessageByQueueCommand.java,8,354,97,not bug-prone
client/src/main/java/org/apache/rocketmq/client/impl/consumer/RebalanceService.java,8,71,20,not bug-prone
example/src/main/java/org/apache/rocketmq/example/simple/PullScheduleService.java,4,75,5,not bug-prone
test/src/main/java/org/apache/rocketmq/test/message/MessageQueueMsg.java,1,62,0,not bug-prone
tools/src/main/java/org/apache/rocketmq/tools/command/offset/CloneGroupOffsetCommand.java,6,124,19,not bug-prone
acl/src/test/resources/conf/plain_acl_incomplete.yml,1,22,0,not bug-prone
client/src/main/java/org/apache/rocketmq/client/latency/LatencyFaultTolerance.java,4,34,6,not bug-prone
common/src/main/java/org/apache/rocketmq/common/message/MessageConst.java,8,100,8,not bug-prone
common/src/main/java/org/apache/rocketmq/common/protocol/header/namesrv/RegisterBrokerResponseHeader.java,5,68,19,not bug-prone
logging/src/test/java/org/apache/rocketmq/logging/BasicLoggerTest.java,1,5,6,not bug-prone
namesrv/src/test/java/org/apache/rocketmq/namesrv/processor/DefaultRequestProcessorTest.java,5,291,16,not bug-prone
test/src/main/java/org/apache/rocketmq/test/clientinterface/AbstractMQConsumer.java,3,126,14,not bug-prone
broker/src/test/java/org/apache/rocketmq/broker/processor/PullMessageProcessorTest.java,5,249,13,not bug-prone
common/src/main/java/org/apache/rocketmq/common/AclConfig.java,1,43,0,not bug-prone
common/src/main/java/org/apache/rocketmq/common/queue/RoundQueue.java,5,61,13,not bug-prone
remoting/src/test/java/org/apache/rocketmq/remoting/TlsTest.java,2,326,0,not bug-prone
common/src/test/java/org/apache/rocketmq/common/stats/StatsItemSetTest.java,2,39,14,bug-prone
tools/src/test/java/org/apache/rocketmq/tools/command/broker/CleanUnusedTopicCommandTest.java,4,95,7,not bug-prone
logging/src/test/java/org/apache/rocketmq/logging/inner/AppenderTest.java,1,160,0,not bug-prone
test/src/main/java/org/apache/rocketmq/test/util/data/collect/DataCollectorManager.java,1,112,0,not bug-prone
common/src/main/java/org/apache/rocketmq/common/utils/IOTinyUtils.java,7,194,36,not bug-prone
common/src/test/java/org/apache/rocketmq/common/protocol/body/ConsumerConnectionTest.java,1,83,0,not bug-prone
docs/en/images/rocketmq_design_message_query.png,0,0,0,not bug-prone
tools/src/test/java/org/apache/rocketmq/tools/command/connection/ConsumerConnectionSubCommandTest.java,4,110,5,not bug-prone
remoting/src/main/java/org/apache/rocketmq/remoting/common/ServiceThread.java,11,167,87,not bug-prone
client/src/main/java/org/apache/rocketmq/client/consumer/MQPullConsumer.java,10,310,137,not bug-prone
